id,start_i,start_j,exit_time_s
361,42,23,60.14445814798744
362,27,7,163.40643357833937
363,6,67,57.18654799039991
364,15,15,175.83114488031163
365,10,3,112.37572259357486
366,11,35,147.20360148452704
367,46,29,91.82790886326174
368,34,12,98.48773934888843
369,44,62,238.5123702679828
370,39,63,79.67677176252138
371,41,63,175.00680179980537
372,40,41,93.8519946868623
373,19,12,149.1888727127339
374,42,34,78.99830169960784
375,8,10,66.94726059153065
376,2,44,163.60532978384228
377,7,58,121.44294367060718
378,4,47,88.88257391923554
379,35,8,85.89589820045597
380,43,45,173.6992910721329
381,40,31,84.5144958324299
382,30,5,140.7820894354042
383,28,10,261.2410352962647
384,38,10,92.41895924453614
385,5,42,107.70002022834831
386,5,56,222.6232073099941
387,40,55,170.45730747226523
388,38,6,106.94632473766956
389,36,19,201.32923654340718
390,22,11,147.99024977136887
391,3,65,95.45811769798352
392,28,12,260.1120098071039
393,10,10,88.81156512567935
394,17,8,110.35020598554387
395,47,58,105.04682813963274
396,8,43,142.33416621326177
397,47,21,116.34638713553599
398,4,45,138.5049370412189
399,46,4,61.27219209491322
400,33,10,88.09736432879501
401,22,7,238.84867332263516
402,47,49,91.01224962295133
403,47,57,55.890189057581324
404,9,12,110.157716345666
405,4,56,72.08069203624883
406,10,24,116.50645632986276
407,11,17,139.93676458241734
408,8,16,158.99467203060797
409,16,7,185.20636745482085
410,2,11,11.598394930097596
411,8,11,122.24455621431736
412,5,11,38.328713582780004
413,10,38,118.78528720690578
414,40,20,85.71474541548248
415,3,42,82.96014833692624
416,4,7,44.98655706933579
417,7,22,136.2917218224973
418,9,26,152.20484239018884
419,2,2,126.29917019676301
420,10,64,91.45476011515402
421,43,14,93.52950012969471
422,21,14,207.06202867030078
423,2,40,181.9837550430548
424,37,6,197.6578271605949
425,7,19,199.9522572162994
426,39,35,99.00307529343631
427,21,5,257.52216764997877
428,10,32,247.07639485109968
429,38,49,103.70665193785281
430,32,21,332.0165184723797
431,39,62,121.23002084611201
432,41,34,241.87049393283183
433,9,32,114.12306059412614
434,5,50,117.81305861601138
435,9,8,279.4689074915315
436,29,6,153.90634556639876
437,39,53,57.54296772085899
438,39,23,78.27346899631969
439,44,21,80.79489843929323
440,46,59,85.22522100012365
441,13,17,238.85984792320434
442,8,7,137.28250380711464
443,11,3,111.1371307705015
444,4,9,49.669760016772194
445,15,4,174.35062164489543
446,29,15,161.89009037060052
447,32,9,154.9231192773186
448,2,21,57.167392494925316
449,46,59,164.12582620696557
450,46,13,137.5202010532374
451,38,47,137.47419631674177
452,39,38,118.44617770289832
453,38,49,136.8005655913346
454,37,20,225.8887494847386
455,35,21,143.86291673903796
456,47,45,82.2974229964633
457,45,31,104.5297655282507
458,46,23,105.09938610900694
459,8,28,139.73242345274755
460,35,10,103.45777868315056
461,29,16,311.36153369399557
462,18,18,169.4580179778888
463,31,67,144.08666725921677
464,39,42,96.7489454275827
465,33,2,140.20307475964523
466,29,11,281.6656846771824
467,23,12,141.63527004627932
468,42,10,55.136211936947184
469,2,17,110.60255931647812
470,17,14,179.9103482794563
471,3,47,31.378285835538613
472,42,47,139.21991213998552
473,8,38,116.53138172544904
474,5,25,94.19132651261091
475,43,17,90.51943218574377
476,6,34,80.51160724246418
477,45,45,56.028432288550896
478,20,19,192.69402602981486
479,9,26,153.91351308581403
480,31,12,147.91603305969392
481,44,6,80.01391290235392
482,41,37,134.88824065398347
483,30,19,257.81843891659383
484,42,38,98.30136570986969
485,46,54,89.28499225452929
486,37,13,195.7413118539939
487,5,42,161.62321367723183
488,12,21,109.61692133433922
489,10,59,102.5156055606031
490,10,24,197.6194933808246
491,6,46,148.90920136395638
492,17,10,208.4161343419153
493,6,5,79.43758410908619
494,27,7,204.53917361294347
495,43,8,66.8707526685864
496,12,6,114.22659503588652
497,37,13,361.6367464399058
498,4,32,124.74113800227528
499,43,4,94.5702279668646
500,25,6,469.3903855424479
501,42,60,209.86443661105122
502,10,5,135.28872919076272
503,2,4,79.45661555069505
504,47,53,59.46387689159513
505,3,65,237.5799253108196
506,43,10,73.31363974211422
507,7,35,112.53154332169863
508,44,22,60.21272621958791
509,17,11,166.0870984842579
510,31,67,162.39431093708652
511,38,49,117.56200118248984
512,8,56,117.22925869512403
513,46,67,81.88093153774787
514,2,61,98.91289299486438
515,10,8,164.3679771869666
